=== Project Charm :: Season (Pass 2: minimal season loop) ===
World: worlds\stock-d1.world.json (347 schools, 32 conferences)
Season seed: 20260720
Schedule fingerprint: 93d8c8532ddb937b88a514e2087765df3860f0f2a76e0360887f4d0108194c15
Schedule: 5205 games ΓÇö 16 conference + 14 non-conference per team, 15 home / 15 away, neutral floors (the road seam is 0).

Regenerating divvied rosters (world + seed; nothing persisted) and playing 5205 real engine games ...
  ... 500/5205 games played
  ... 1000/5205 games played
  ... 1500/5205 games played
  ... 2000/5205 games played
  ... 2500/5205 games played
  ... 3000/5205 games played
  ... 3500/5205 games played
  ... 4000/5205 games played
  ... 4500/5205 games played
  ... 5000/5205 games played

--- STANDINGS (all 347, ranked by W-L; ties broken by school id) ---
  rk   school                    conf       pres   W-L
  accepted pool 4511 -> rostered 4511 (1:1 by construction ΓÇö draft-level masking is impossible; the O-6 risk is MINUTES, read it on the stage-3 page)
    RimProtection          rostered with current >= 80:    49 ( 1.09%)
    PostDefense            rostered with current >= 80:    46 ( 1.02%)
    OffensiveRebounding    rostered with current >= 80:    18 ( 0.40%)
    DefensiveRebounding    rostered with current >= 80:    22 ( 0.49%)
--- S80 POSITION CENSUS, ROSTERED (stage 2; CURRENT ratings; page-only, never asserted) ---
  G  (n=1735)
      skill                   med   p10   p90    <=10    <=20
    interior defence  (S80 primary)
      RimProtection            27    13    57    3.6%   34.6%
      PostDefense              26    13    56    2.4%   35.0%
    perimeter defence (the ruled mirror ΓÇö same dial, opposite plane)
      PerimeterDefense         32    15    62    1.7%   24.9%
      Steals                   32    15    62    1.3%   24.8%
      OffBallDefense           32    15    62    1.3%   22.6%
    interior offence  (competes for the same budget)
      PostMoves                14     9    38   22.4%   72.0%
      Close                    18    10    50   12.0%   58.5%
      Finishing                18    10    55   11.8%   57.2%
      Screening                15    10    44   19.8%   65.5%
    perimeter offence (competes for the same budget)
      Outside                  42    16    74    1.6%   18.4%
      Mid                      37    16    64    0.9%   20.2%
      BallHandling             25    12    60    5.7%   40.5%
      Passing                  24    12    56    4.6%   42.1%
      Playmaking               24    12    58    4.7%   40.7%
    rebounding        (competes for the same budget)
      OffensiveRebounding      23    12    49    5.0%   42.2%
      DefensiveRebounding      23    12    49    4.0%   41.6%
  W  (n=1388)
      skill                   med   p10   p90    <=10    <=20
    interior defence  (S80 primary)
      RimProtection            33    15    60    1.5%   23.8%
      PostDefense              33    15    62    1.7%   22.5%
    perimeter defence (the ruled mirror ΓÇö same dial, opposite plane)
      PerimeterDefense         25    13    51    2.4%   36.1%
      Steals                   26    14    50    2.2%   35.0%
      OffBallDefense           26    14    51    2.3%   33.9%
    interior offence  (competes for the same budget)
      PostMoves                18    10    48   12.5%   57.6%
      Close                    26    11    58    6.8%   40.3%
      Finishing                27    11    61    6.1%   38.0%
      Screening                21    10    50   11.5%   48.8%
    perimeter offence (competes for the same budget)
      Outside                  29    13    62    4.2%   32.6%
      Mid                      29    14    57    2.3%   30.6%
      BallHandling             20    11    47    8.3%   52.7%
      Passing                  20    11    42    6.9%   53.9%
      Playmaking               20    11    44    6.1%   52.4%
    rebounding        (competes for the same budget)
      OffensiveRebounding      27    14    55    1.9%   32.5%
      DefensiveRebounding      27    14    53    2.4%   34.4%
  B  (n=1388)
      skill                   med   p10   p90    <=10    <=20
    interior defence  (S80 primary)
      RimProtection            36    18    60    1.1%   14.8%
      PostDefense              37    17    61    0.7%   16.1%
    perimeter defence (the ruled mirror ΓÇö same dial, opposite plane)
      PerimeterDefense         20    12    41    4.3%   53.0%
      Steals                   20    12    41    4.6%   51.7%
      OffBallDefense           20    12    43    4.5%   51.3%
    interior offence  (competes for the same budget)
      PostMoves                23    11    54    7.6%   44.9%
      Close                    29    13    56    3.7%   31.1%
      Finishing                30    13    57    2.9%   27.9%
      Screening                25    12    49    5.8%   36.8%
    perimeter offence (competes for the same budget)
      Outside                  20    11    50    7.3%   50.4%
      Mid                      22    12    48    4.3%   44.2%
      BallHandling             16    10    38   13.5%   63.2%
      Passing                  17    11    35    9.3%   64.3%
      Playmaking               17    11    36    9.9%   63.5%
    rebounding        (competes for the same budget)
      OffensiveRebounding      28    15    53    1.6%   28.3%
      DefensiveRebounding      29    15    55    1.2%   26.8%
  drafted height by position (pool means survive the divvy?):
    G  mean  50.1  [ 40.. 66]  (n=1735)
    W  mean  60.5  [ 40.. 80]  (n=1388)
    B  mean  70.6  [ 55.. 91]  (n=1388)
  scout rank by acquisition-order index (NOT a depth chart ΓÇö see A10):
    idx  1  rank  147.8  [ 101.3 ..  196.5]  pos G294/W30/B23
    idx  2  rank  136.4  [  92.2 ..  173.6]  pos G298/W30/B19
    idx  3  rank  129.7  [  80.4 ..  163.7]  pos G284/W33/B30
    idx  4  rank  124.9  [  81.2 ..  156.2]  pos G297/W31/B19
    idx  5  rank  121.2  [  77.9 ..  153.4]  pos G284/W37/B26
    idx  6  rank  116.7  [  68.3 ..  149.8]  pos G166/W95/B86
    idx  7  rank  112.9  [  73.0 ..  148.6]  pos W157/B121/G69
    idx  8  rank  110.1  [  70.1 ..  144.6]  pos W176/B144/G27
    idx  9  rank  107.9  [  60.7 ..  143.2]  pos W188/B151/G8
    idx 10  rank  106.0  [  61.7 ..  140.6]  pos W176/B166/G5
    idx 11  rank  104.2  [  67.4 ..  136.8]  pos B178/W167/G2
    idx 12  rank  102.7  [  62.5 ..  131.9]  pos B212/W134/G1
    idx 13  rank  101.1  [  67.6 ..  128.8]  pos B213/W134
  drafted scout-rank spread by prestige band (mean [min..max]):
    prestige  0-19    94.1  [  60.7 ..  165.9]  (n=702)
    prestige 20-39   110.0  [  80.3 ..  177.1]  (n=1365)
    prestige 40-59   121.0  [  93.6 ..  180.8]  (n=1066)
    prestige 60-79   130.1  [ 102.6 ..  196.5]  (n=832)
    prestige 80-99   136.7  [ 110.3 ..  187.7]  (n=546)

--- SEASON STAT PAGE (Session 77; page-only, never asserted) ---
  4511 player-seasons; 1025 never played a minute.
  qualifiers: >=100 3470 | >=250 2818 | >=500 2083 | >=900 444
  minutes floor in force: >=500 (reporting only ΓÇö the roll-up is complete before any filter)

  LEADERS ΓÇö per-game averages, 2083 men clearing the >=500 minute floor
    points
       1. Pool_1038    STJN   G 56   29.7   (30 gp, 31.8 mpg)
       2. Pool_1034    WCST   G 56   28.0   (30 gp, 30.1 mpg)
       3. Pool_546     UMBC   G 40   27.7   (30 gp, 29.3 mpg)
       4. Pool_1045    LEHGH  G 40   27.0   (30 gp, 31.8 mpg)
       5. Pool_341     BLST   G 42   26.6   (30 gp, 31.6 mpg)
       6. Pool_973     HLYCR  G 48   26.6   (30 gp, 32.0 mpg)
       7. Pool_921     OLDDM  G 50   25.2   (30 gp, 32.2 mpg)
       8. Pool_41      TXSA   G 47   25.0   (30 gp, 32.2 mpg)
       9. Pool_1581    VATC   G 51   24.8   (30 gp, 29.9 mpg)
      10. Pool_636     VACM   G 53   24.4   (30 gp, 32.1 mpg)
    rebounds
       1. Pool_928     ALST   G 57   11.2   (30 gp, 31.8 mpg)
       2. Pool_3924    NDK    B 73   10.7   (30 gp, 23.6 mpg)
       3. Pool_1694    SNDGO  G 53    9.6   (30 gp, 31.9 mpg)
       4. Pool_2623    ULLAF  W 64    9.3   (30 gp, 26.0 mpg)
       5. Pool_3654    HBU    B 70    9.2   (30 gp, 24.0 mpg)
       6. Pool_2162    CRNL   W 59    9.2   (30 gp, 26.6 mpg)
       7. Pool_3219    NJIT   B 73    9.1   (30 gp, 23.7 mpg)
       8. Pool_1663    CHATT  G 60    9.0   (30 gp, 32.1 mpg)
       9. Pool_4210    ROBMR  B 76    8.9   (30 gp, 24.0 mpg)
      10. Pool_4101    WBST   B 78    8.8   (30 gp, 23.7 mpg)
    assists
       1. Pool_682     SMU    G 50    3.3   (30 gp, 29.6 mpg)
       2. Pool_1141    UMKC   G 50    3.3   (30 gp, 29.9 mpg)
       3. Pool_941     NCWM   G 54    3.3   (30 gp, 30.0 mpg)
       4. Pool_768     TXTC   G 50    3.2   (30 gp, 32.3 mpg)
       5. Pool_1017    STFL   G 40    3.2   (30 gp, 31.7 mpg)
       6. Pool_1341    GASO   G 40    3.2   (30 gp, 30.0 mpg)
       7. Pool_1296    MNMTH  G 53    3.1   (30 gp, 32.4 mpg)
       8. Pool_1635    AZ     G 54    3.1   (30 gp, 31.6 mpg)
       9. Pool_1230    NDSU   G 53    3.0   (30 gp, 31.4 mpg)
      10. Pool_521     CNTRY  G 43    3.0   (30 gp, 32.1 mpg)
    steals
       1. Pool_313     NCOL   G 46    4.1   (30 gp, 32.0 mpg)
       2. Pool_1309    STACL  G 56    3.5   (30 gp, 30.1 mpg)
       3. Pool_945     SMHOU  G 50    3.5   (30 gp, 32.2 mpg)
       4. Pool_734     JK     G 51    3.2   (30 gp, 32.3 mpg)
       5. Pool_268     IL     G 51    3.2   (30 gp, 29.8 mpg)
       6. Pool_127     WTHP   G 49    3.2   (30 gp, 31.5 mpg)
       7. Pool_420     FGC    G 49    3.1   (30 gp, 31.6 mpg)
       8. Pool_2089    MICH   W 59    2.9   (30 gp, 26.0 mpg)
       9. Pool_42      NTHIA  G 42    2.9   (30 gp, 31.6 mpg)
      10. Pool_500     HRTFD  G 40    2.9   (30 gp, 29.9 mpg)
    blocks
       1. Pool_1517    WMCH   G 64    2.2   (30 gp, 31.2 mpg)
       2. Pool_4503    UTAH   B 86    2.0   (30 gp, 24.1 mpg)
       3. Pool_4027    UTST   B 75    1.8   (30 gp, 23.6 mpg)
       4. Pool_4101    WBST   B 78    1.8   (30 gp, 23.7 mpg)
       5. Pool_4121    TNMN   B 73    1.8   (30 gp, 24.4 mpg)
       6. Pool_3132    STJN   B 75    1.7   (30 gp, 23.8 mpg)
       7. Pool_3999    STMRY  B 73    1.7   (30 gp, 23.6 mpg)
       8. Pool_4326    STACL  B 76    1.7   (30 gp, 24.1 mpg)
       9. Pool_4508    UAB    B 83    1.7   (30 gp, 23.8 mpg)
      10. Pool_3719    NV     B 76    1.7   (30 gp, 23.6 mpg)
    minutes
       1. Pool_681     PCFC   G 55   32.8   (30 gp)    1743 off poss |   1745 def poss
       2. Pool_294     DYTN   G 40   32.8   (30 gp)    1739 off poss |   1747 def poss
       3. Pool_1460    AL     G 51   32.6   (30 gp)    1728 off poss |   1740 def poss
       4. Pool_1542    IOWA   G 50   32.5   (30 gp)    1727 off poss |   1728 def poss
       5. Pool_1060    HI     G 53   32.5   (30 gp)    1719 off poss |   1734 def poss
       6. Pool_1296    MNMTH  G 53   32.4   (30 gp)    1704 off poss |   1740 def poss
       7. Pool_389     NCWM   G 48   32.3   (30 gp)    1722 off poss |   1719 def poss
       8. Pool_326     GGWA   G 52   32.3   (30 gp)    1720 off poss |   1720 def poss
       9. Pool_1072    OHIO   G 58   32.3   (30 gp)    1725 off poss |   1714 def poss
      10. Pool_1399    MS     G 62   32.3   (30 gp)    1716 off poss |   1722 def poss

  SHOOTING ΓÇö minutes floor first, then attempts per game (attempts, NOT makes)
    FG% (>= 4.0 att/gm ΓÇö 1807 qualify)
       1. Pool_3389    OLDDM  B 66   65.8%   129-196   6.5 att/gm  (30 gp, 24.3 mpg)
       2. Pool_425     SDST   G 45   62.9%   107-170   5.7 att/gm  (30 gp, 27.5 mpg)
       3. Pool_3710    NEB    B 79   62.5%   105-168   5.6 att/gm  (30 gp, 24.4 mpg)
       4. Pool_3671    CAL    B 69   61.8%   128-207   6.9 att/gm  (30 gp, 23.5 mpg)
       5. Pool_1263    GASO   G 63   61.8%   157-254   8.5 att/gm  (30 gp, 31.9 mpg)
       6. Pool_4319    LA TC  B 91   61.4%    78-127   4.2 att/gm  (30 gp, 23.8 mpg)
       7. Pool_3530    TXPA   B 69   59.3%   143-241   8.0 att/gm  (30 gp, 24.1 mpg)
       8. Pool_1800    NRFST  W 61   59.1%    78-132   4.4 att/gm  (30 gp, 26.0 mpg)
       9. Pool_3609    MILW   B 71   59.1%   130-220   7.3 att/gm  (30 gp, 24.1 mpg)
      10. Pool_3856    ORLRB  B 72   59.1%   153-259   8.6 att/gm  (30 gp, 24.2 mpg)
    3P% (>= 1.5 att/gm ΓÇö 1199 qualify)
       1. Pool_1800    NRFST  W 61   59.1%    68-115   3.8 att/gm  (30 gp, 26.0 mpg)
       2. Pool_1615    DAVDS  G 57   54.9%    62-113   3.8 att/gm  (30 gp, 27.7 mpg)
       3. Pool_3912    MGNST  B 62   54.1%    59-109   3.6 att/gm  (30 gp, 24.2 mpg)
       4. Pool_714     IOWA   G 49   53.5%    54-101   3.4 att/gm  (30 gp, 20.3 mpg)
       5. Pool_721     DAVDS  G 53   53.3%    81-152   5.1 att/gm  (30 gp, 31.7 mpg)
       6. Pool_624     WASH   G 55   52.4%    65-124   4.1 att/gm  (30 gp, 20.0 mpg)
       7. Pool_418     RICHM  G 49   52.3%    67-128   4.3 att/gm  (30 gp, 20.1 mpg)
       8. Pool_1091    WRST   G 54   52.3%    90-172   5.7 att/gm  (30 gp, 31.9 mpg)
       9. Pool_682     SMU    G 50   52.2%   119-228   7.6 att/gm  (30 gp, 29.6 mpg)
      10. Pool_833     TXCC   G 40   52.1%    61-117   3.9 att/gm  (30 gp, 20.2 mpg)
    FT% (>= 1.5 att/gm ΓÇö 1536 qualify)
       1. Pool_1104    FLATL  G 41   98.3%    59-60    2.0 att/gm  (30 gp, 31.4 mpg)
       2. Pool_1241    WCST   G 57   95.6%    87-91    3.0 att/gm  (30 gp, 31.8 mpg)
       3. Pool_2493    STBR   W 63   95.0%    57-60    2.0 att/gm  (30 gp, 25.7 mpg)
       4. Pool_820     HHPT   G 52   94.9%   112-118   3.9 att/gm  (30 gp, 31.9 mpg)
       5. Pool_582     HAMPT  G 43   94.4%    85-90    3.0 att/gm  (30 gp, 31.6 mpg)
       6. Pool_1631    LA ST  G 46   94.1%    48-51    1.7 att/gm  (30 gp, 20.2 mpg)
       7. Pool_465     BRY    G 40   93.8%    61-65    2.2 att/gm  (30 gp, 27.8 mpg)
       8. Pool_1549    CSTCA  G 56   93.8%    61-65    2.2 att/gm  (30 gp, 28.0 mpg)
       9. Pool_642     WMCH   G 42   93.8%   106-113   3.8 att/gm  (30 gp, 29.5 mpg)
      10. Pool_1538    HOU    G 52   93.2%    55-59    2.0 att/gm  (30 gp, 29.6 mpg)

  RATES ΓÇö per-opportunity, 2083 men clearing the >=500 minute floor
    (direct on-floor counters, not minutes-share estimates ΓÇö may differ from external providers'
     box-score estimators though expressed in the same familiar units. BLK% is total blocks over
     opponent TWO-point attempts faced, the usual convention: threes are blockable in this engine,
     so it is NOT a strict share of blockable opportunities.)
    BLK%     blk / opp 2PA faced   (2083 eligible)
       1. Pool_4503    UTAH   B 86    9.19%  (   59 of 642   )  (30 gp, 24.1 mpg)
       2. Pool_4027    UTST   B 75    8.50%  (   55 of 647   )  (30 gp, 23.6 mpg)
       3. Pool_4101    WBST   B 78    8.41%  (   54 of 642   )  (30 gp, 23.7 mpg)
       4. Pool_4121    TNMN   B 73    8.35%  (   53 of 635   )  (30 gp, 24.4 mpg)
       5. Pool_3132    STJN   B 75    8.27%  (   52 of 629   )  (30 gp, 23.8 mpg)
       6. Pool_3999    STMRY  B 73    8.24%  (   52 of 631   )  (30 gp, 23.6 mpg)
       7. Pool_1517    WMCH   G 64    8.14%  (   67 of 823   )  (30 gp, 31.2 mpg)
       8. Pool_3220    UNLV   B 68    7.89%  (   49 of 621   )  (30 gp, 24.2 mpg)
       9. Pool_3654    HBU    B 70    7.89%  (   47 of 596   )  (30 gp, 24.0 mpg)
      10. Pool_4508    UAB    B 83    7.75%  (   51 of 658   )  (30 gp, 23.8 mpg)
    REB%     reb / secured boards   (2083 eligible)
       1. Pool_3924    NDK    B 73   27.36%  (  322 of 1177  )  (30 gp, 23.6 mpg)
       2. Pool_3219    NJIT   B 73   25.05%  (  273 of 1090  )  (30 gp, 23.7 mpg)
       3. Pool_3654    HBU    B 70   24.67%  (  277 of 1123  )  (30 gp, 24.0 mpg)
       4. Pool_4420    BAYLR  B 78   23.93%  (  262 of 1095  )  (30 gp, 24.6 mpg)
       5. Pool_4210    ROBMR  B 76   22.98%  (  268 of 1166  )  (30 gp, 24.0 mpg)
       6. Pool_4101    WBST   B 78   22.92%  (  264 of 1152  )  (30 gp, 23.7 mpg)
       7. Pool_4058    VRMT   B 71   22.47%  (  257 of 1144  )  (30 gp, 23.6 mpg)
       8. Pool_3623    PRS    B 65   22.33%  (  249 of 1115  )  (30 gp, 24.1 mpg)
       9. Pool_3100    SELA   W 65   21.94%  (  260 of 1185  )  (30 gp, 26.0 mpg)
      10. Pool_2623    ULLAF  W 64   21.85%  (  279 of 1277  )  (30 gp, 26.0 mpg)
    AST%     ast / teammate FGM   (2083 eligible)
       1. Pool_2459    FRMN   W 53   25.60%  (   53 of 207   )  (30 gp, 25.7 mpg)
       2. Pool_1079    MGNST  G 49   25.19%  (   66 of 262   )  (30 gp, 19.9 mpg)
       3. Pool_263     NEWOR  G 40   24.79%  (   59 of 238   )  (30 gp, 19.9 mpg)
       4. Pool_677     GBAY   G 43   23.56%  (   78 of 331   )  (30 gp, 29.8 mpg)
       5. Pool_682     SMU    G 50   23.53%  (  100 of 425   )  (30 gp, 29.6 mpg)
       6. Pool_549     DNVR   G 46   23.50%  (   86 of 366   )  (30 gp, 29.6 mpg)
       7. Pool_479     JKNST  G 48   23.08%  (   87 of 377   )  (30 gp, 31.7 mpg)
       8. Pool_361     NM ST  G 40   22.97%  (   65 of 283   )  (30 gp, 27.6 mpg)
       9. Pool_3842    NCGN   B 65   22.83%  (   58 of 254   )  (30 gp, 24.0 mpg)
      10. Pool_140     NCAS   G 48   22.19%  (   85 of 383   )  (30 gp, 31.8 mpg)
    STL%     stl / def poss   (2083 eligible)
       1. Pool_313     NCOL   G 46    7.21%  (  123 of 1705  )  (30 gp, 32.0 mpg)
       2. Pool_1309    STACL  G 56    6.62%  (  106 of 1600  )  (30 gp, 30.1 mpg)
       3. Pool_2089    MICH   W 59    6.41%  (   88 of 1373  )  (30 gp, 26.0 mpg)
       4. Pool_945     SMHOU  G 50    6.10%  (  105 of 1721  )  (30 gp, 32.2 mpg)
       5. Pool_268     IL     G 51    6.07%  (   96 of 1582  )  (30 gp, 29.8 mpg)
       6. Pool_137     IAST   G 49    6.04%  (   64 of 1059  )  (30 gp, 19.9 mpg)
       7. Pool_314     OAK    G 40    5.87%  (   63 of 1073  )  (30 gp, 20.1 mpg)
       8. Pool_619     IUPUI  G 49    5.75%  (   85 of 1478  )  (30 gp, 27.8 mpg)
       9. Pool_599     UCONN  G 49    5.68%  (   84 of 1480  )  (30 gp, 27.7 mpg)
      10. Pool_127     WTHP   G 49    5.66%  (   95 of 1679  )  (30 gp, 31.5 mpg)
    PTS/100  pts / off poss   (2083 eligible)
       1. Pool_546     UMBC   G 40   53.34   (  830 of 1556  )  (30 gp, 29.3 mpg)
       2. Pool_1038    STJN   G 56   52.66   (  891 of 1692  )  (30 gp, 31.8 mpg)
       3. Pool_1034    WCST   G 56   52.50   (  839 of 1598  )  (30 gp, 30.1 mpg)
       4. Pool_1045    LEHGH  G 40   47.90   (  809 of 1689  )  (30 gp, 31.8 mpg)
       5. Pool_2763    UCSB   W 59   47.65   (  668 of 1402  )  (30 gp, 26.4 mpg)
       6. Pool_341     BLST   G 42   47.47   (  798 of 1681  )  (30 gp, 31.6 mpg)
       7. Pool_973     HLYCR  G 48   46.97   (  797 of 1697  )  (30 gp, 32.0 mpg)
       8. Pool_1581    VATC   G 51   46.65   (  745 of 1597  )  (30 gp, 29.9 mpg)
       9. Pool_1280    STBR   G 50   46.15   (  732 of 1586  )  (30 gp, 29.5 mpg)
      10. Pool_1116    ASTNP  G 53   45.95   (  731 of 1591  )  (30 gp, 29.9 mpg)

  ONE TEAM IN FULL ΓÇö Oklahoma State (id 200), in rotation order
    player       pos  ht  gp   mpg   pts   reb   ast  stl  blk   to     fg%    3p%    ft%   sfl*  nsf*
    Pool_1431    G    60  30  32.1  10.2   5.5   2.2  0.9  0.7  2.9   50.2%  30.0%  73.6%    0.8   2.2
    Pool_987     G    51  30  29.8  14.0   3.6   2.3  1.0  0.4  2.6   34.4%  25.7%  73.9%    0.9   1.4
    Pool_1601    G    51  30  28.1   9.6   2.5   1.1  1.0  0.4  1.6   40.7%  40.0%  78.6%    0.9   1.3
    Pool_2059    W    63  30  25.9  11.4   5.1   1.2  1.4  0.3  1.8   42.9%  42.8%  84.3%    0.6   1.7
    Pool_3631    B    59  30  24.1   5.5   3.9   1.0  0.4  1.1  0.6   45.2%  27.3%  77.6%    0.9   1.3
    Pool_1440    G    52  30  20.1   9.5   3.1   0.7  1.2  0.3  1.5   36.7%  34.3%  92.3%    0.6   0.8
    Pool_3077    W    69  30  16.0   4.5   2.9   1.1  0.7  0.5  1.1   55.9%  53.3%  64.7%    0.6   0.9
    Pool_4031    B    69  30  12.3   2.4   2.7   0.6  0.5  0.6  0.3   35.4%  36.4%  93.8%    0.5   0.7
    Pool_2490    W    58  30   8.3   4.3   1.2   0.7  0.6  0.1  0.6   56.5%  33.3%  67.9%    0.1   0.4
    Pool_3819    B    76  30   4.3   0.3   1.1   0.2  0.1  0.1  0.2   27.3%  33.3%  75.0%    0.2   0.3
    Pool_1397    G    51   0   0.0   0.0   0.0   0.0  0.0  0.0  0.0    0.0%   0.0%   0.0%    0.0   0.0
    Pool_3312    B    68   0   0.0   0.0   0.0   0.0  0.0  0.0  0.0    0.0%   0.0%   0.0%    0.0   0.0
    Pool_3065    W    63   0   0.0   0.0   0.0   0.0  0.0  0.0  0.0    0.0%   0.0%   0.0%    0.0   0.0
    (* sfl/nsf are POST-HOC HARNESS DRAWS, not a record of who committed a foul ΓÇö
       the committer is allocated by weight in AttributeGame, not chosen by the engine.)

  LEAGUE DISTRIBUTION ΓÇö all 4511 player-seasons, unfiltered (per game)
    stat          rk1   rk10   rk50  rk100  rk500  rk1000  median
    points       29.7   24.4   20.7   18.2   11.9     8.7     4.1
    rebounds     11.2    8.8    7.7    7.1    5.2     4.1     2.2
    assists       3.3    3.0    2.5    2.3    1.6     1.3     0.7
    minutes      32.8   32.3   32.1   31.9   29.9    27.6    16.0
    ΓÇö rates below: 2083 of 4511 clearing the >=500 minute floor
    BLK%          9.2    7.8    5.9    5.1    2.8     2.1     2.0   n=2083
    REB%         27.4   21.8   18.3   16.9   12.4     9.4     9.3   n=2083
    AST%         25.6   22.2   19.2   17.6   13.0    10.1     9.9   n=2083
    STL%          7.2    5.7    4.7    4.3    2.9     2.0     2.0   n=2083
    PTS/100      53.3   45.9   39.7   36.5   24.8    18.3    17.8   n=2083

