 347 
ID,Name,Mascot,Prestige,Abbr,Logo,City,State,Conference,Division,TeamColor,TravelPart,Rival,PlaceId,Academics
294,Utah,,76,UTAH ,utah,Salt Lake City,UT,21,1,#CE4242,0,,252,1
295,Utah State,,83,UTST ,utahstate,Logan,UT,32,1,#003366,0,,253,1
296,UTEP,,64,UTEP ,utep,El Paso,TX,12,1,#FF7339,0,,254,1
297,Valparaiso,,51,VLPO ,valparaiso,Valparaiso,IN,14,1,#964B00,33,,255,1
298,Vanderbilt,,83,VNDY ,vanderbilt,Nashville,TN,26,1,#997F3D,0,,21,1
299,Vermont,,52,VRMT ,vermont,Burlington,VT,1,1,#214231,0,,256,1
300,Villanova,,90,VLNV ,villanova,Villanova,PA,6,1,#002868,0,,257,1
301,Virginia,,71,VA   ,virginia,Charlottesville,VA,3,1,#002C62,0,,258,1
302,VCU,,70,VACM ,virginiacommonwealth,Richmond,VA,11,1,#EDBC31,0,,196,1
303,Virginia Tech,,66,VATC ,virginiatech,Blacksburg,VA,3,1,#7B2129,0,,259,1
304,VMI,,14,VMI  ,vmi,Lexington,VA,8,1,#FF0000,135,,260,1
305,Wagner,,30,WGNR ,wagner,New York,NY,22,1,#003E22,0,,55,1
306,Wake Forest,,84,WAKE ,wakeforest,Winston-Salem,NC,3,1,#E3A444,0,,261,1
307,Washington,,73,WASH ,washington,Seattle,WA,24,1,#3E3468,308,,262,1
308,Washington State,,57,WAST ,washingtonstate,Pullman,WA,24,1,#A32638,307,,263,1
309,Weber State,,50,WBST ,weberstate,Ogden,UT,7,1,#18005A,0,,264,1
310,West Virginia,,82,WVU  ,westvirginia,Morgantown,WV,6,1,#00386B,0,,265,1
311,Western Carolina,,23,WCA  ,westerncarolina,Cullowhee,NC,27,1,#6E268B,0,,266,1
312,Western Illinois,,8,WIL  ,westernillinois,Macomb,IL,17,1,#4E1E8A,122,,267,1
313,Western Kentucky,,71,WKY  ,westernkentucky,Bowling Green,KY,30,1,#E51636,0,,268,1
314,Western Michigan,,47,WMCH ,westernmichigan,Kalamazoo,MI,18,2,#514B52,0,,269,1
315,Wichita State,,60,WCST ,wichitastate,Wichita,KS,20,1,#0D0A03,0,,270,1
316,William & Mary,,35,WM   ,williammary,Williamsburg,VA,11,1,#073E2B,0,,271,1
317,Winthrop,,47,WTHP ,winthrop,Rock Hill,SC,8,1,#9E0B0E,333,,272,1
318,Wisconsin,,92,WI   ,wisconsin,Madison,WI,9,1,#D71034,0,,273,1
319,Green Bay,,52,GBAY ,greenbay,Green Bay,WI,14,1,#006633,320,,274,1
320,Milwaukee,,61,MILW ,milwaukee,Milwaukee,WI,14,1,#FDBB30,319,,133,1
321,Wofford,,33,WFFD ,wofford,Spartanburg,SC,27,2,#CFB53B,0,,275,1
322,Wright State,,58,WRST ,wrightstate,Dayton,OH,14,1,#A36209,69,,62,1
323,Wyoming,,55,WY   ,wyoming,Laramie,WY,21,1,#523921,0,,276,1
324,Xavier,,88,XAVR ,xavier,Cincinnati,OH,2,1,#004B80,0,,48,1
325,Yale,,33,YALE ,yale,New Haven,CT,15,1,#004A81,30,,277,1
326,Youngstown State,,21,YNGST,youngstownstate,Youngstown,OH,14,1,#961F22,51,,278,1
327,Florida Gulf Coast,,7,FGC  ,floridagulfcoast,Fort Myers,FL,4,1,#1D5083,0,,279,1
328,Kennesaw State,,8,KNST ,kennstate,Kennesaw,GA,4,1,#FEBC11,0,,280,1
329,Houston Baptist,,4,HBU  ,houstonbaptist,Houston,TX,13,1,#CE4122,0,,100,1
330,South Dakota,,32,SD   ,southdakota,Vermillion,SD,13,1,#870006,0,,281,1
331,Winston-Salem,,6,WS   ,winstonsalem,Winston-Salem,NC,13,1,#CC0000,0,,261,1
332,UC Davis,,14,UCD  ,ucdavis,Davis,CA,10,1,#1B265C,0,,282,1
333,Presbyterian,,11,PRS  ,presbyterian,Clinton,SC,8,1,#013082,317,,283,1
334,Longwood,,6,LNG  ,longwood,Farmville,VA,13,1,#001F6B,0,,284,1
335,Seattle,,38,SEA  ,seattleu,Seattle,WA,13,1,#A42822,0,,262,1
336,NJIT,,0,NJIT ,njit,Newark,NJ,13,1,#900108,0,,285,1
337,North Dakota State,,42,NDSU ,northdakotastate,Fargo,ND,17,1,#006633,347,,286,1
338,North Carolina Central,,3,NCC  ,northcarolinacentral,Durham,NC,13,1,#660000,0,,69,1
339,North Florida,,6,NFL  ,northflorida,Jacksonville,FL,4,1,#000098,0,,112,1
340,Bryant University,,2,BRY  ,bryant,Smithfield,RI,22,1,#866A17,0,,287,1
341,North Dakota,,0,NDK  ,northdakota,Grand Forks,ND,13,1,#017338,0,,288,1
342,Central Arkansas,,7,CNAR ,centralarkansas,Conway,AR,28,1,#4D2585,0,,289,1
343,Northern Colorado,,20,NCOL ,northerncolorado,Greeley,CO,7,1,#000066,0,,290,1
344,Cal State Bakersfield,,5,CSBK ,calbakersfield,Bakersfield,CA,13,1,#004A84,0,,291,1
345,USC Upstate,,9,USCU ,uscupstate,Spartanburg,SC,4,1,#2B5F49,0,,275,1
346,SIU Edwardsville,,4,SIUE ,siue,Edwardsville,IL,13,1,#FF0000,0,,292,1
347,South Dakota State,,12,SDST ,southdakotastate,Brookings,SD,17,1,#002662,337,,293,1
